KIC,Kpmag,QLen,DLen,numax,Delnu,A,Width,Gran,Teff,log(g),[Fe/H],NoCorM,NoCorR,RGBcorM,RGBcorR,ClcorM,ClcorR,Phase,M17,Simbad,_RA,_DE
3347458,10.3,17,1235.8,39.99,3.36,39.7,17.4,950.1,5000,2.519,0.18,4.56,19.46,5.15,20.68,5.24,20.87,2,M17,Simbad,292.77283,38.43248
8378545,11.78,17,1235.5,48.82,3.977,23,22.9,731.4,5058,2.608,0.22,4.3,17.06,4.91,18.23,4.9,18.21,2,M17,Simbad,296.26709,44.3718611
5978324,10.96,18,1318.1,49.1,4.074,23.5,17.6,362.2,5051,2.61,-0.07,3.97,16.34,4.41,17.24,4.7,17.78,2,M17,Simbad,296.65195,41.22208
10068490,12.26,18,1317.7,66.42,5.206,13.7,19.1,238.2,5189,2.747,-0.14,3.83,13.72,4.38,14.67,4.61,15.04,2,M17,Simbad,289.05295,47.0409811
4756133,10.58,14,974.9,80.81,5.994,19.9,31.3,167.4,5152,2.831,0.11,3.89,12.55,4.45,13.43,4.51,13.51,2,M17,Simbad,294.38312,39.84494
7175316,9,18,1317.9,43.3,3.716,25.1,19.5,894.8,5007,2.554,-0.04,3.88,17.24,4.27,18.09,4.51,18.58,2,M17,Simbad,281.97849,42.7441411
7024018,11.52,18,1317.9,89.54,6.628,16.2,32.2,184.3,5235,2.879,-0.17,3.62,11.46,4.16,12.28,4.36,12.57,2,M17,Simbad,288.74969,42.5809289
6547176,11.72,18,1318.1,46.76,4.079,18.1,17.7,348.3,5195,2.595,0.02,3.56,15.74,4.06,16.83,4.17,17.05,2,M17,Simbad,298.2778,41.9696619
8621290,9.38,10,681.9,68.01,5.403,26.4,23.7,560,5253,2.76,0.15,3.61,13.12,4.17,14.1,4.13,14.03,2,M17,Simbad,290.51724,44.74192
10384595,12.2,18,1318,54.42,4.6,76,14.5,710.6,5213,2.662,-0.1,3.48,14.43,3.97,15.4,4.13,15.72,1,M17,Simbad,281.51407,47.5076711
6599955,11.62,18,1317.9,76.5,5.829,18.2,24.5,257.4,5023,2.801,-0.24,3.55,12.4,3.82,12.86,4.1,13.33,2,M17,Simbad,289.91006,42.0861889
3955502,12.27,15,1138.9,24.68,2.523,46.1,9.7,3294.4,5121,2.314,0.05,3.5,21.56,3.93,22.86,4.06,23.23,0,M17,Simbad,291.83844,39.0194019
8037930,13.45,14,1125.8,58.35,4.762,42.5,18,974.1,5084,2.686,0.23,3.6,14.26,4.08,15.18,4.04,15.11,2,M17,Simbad,294.91647,43.8936611
8569885,9.04,18,1317.8,45.32,4.013,34.2,19.3,761.4,5262,2.584,0.15,3.52,15.87,4.06,17.04,4.01,16.92,2,M17,Simbad,295.49878,44.6485481
3747623,13.93,17,1308.6,29.1,2.94,84.2,18.4,5602.7,5379,2.396,-0.79,3.34,19.19,3.82,20.49,4,20.98,2,M17,Simbad,291.6283,38.8635411
6529078,13.87,10,777.2,38.36,3.49,137.1,16.1,2914.9,5007,2.501,-0.1,3.47,17.32,3.72,17.95,3.97,18.54,2,M17,Simbad,293.91266,41.9089811
11518639,13.87,15,1211.8,53.79,4.59,28.2,26.1,551.9,5198,2.656,-0.01,3.38,14.31,3.82,15.21,3.94,15.45,2,M17,Simbad,296.85648,49.45649
7988900,10.3,18,1318.2,47.3,4.108,37,22.2,635.5,5046,2.594,0.07,3.42,15.47,3.76,16.2,3.92,16.55,2,M17,Simbad,300.09964,43.7368811
8365782,10.06,18,1318,82.94,6.314,18.5,22.4,282.6,5118,2.841,0.05,3.38,11.57,3.76,12.2,3.89,12.4,2,M17,Simbad,291.90381,44.3867989
2579142,11.36,8,552.9,5.41,0.747,565,2.2,370877.1,4124,1.608,-0.09,3.46,48.36,3.49,48.61,3.87,51.19,1,M17,Simbad,292.15579,37.8485719
9612933,10.61,18,1318.2,54.05,4.46,19.9,19.6,576.2,4881,2.644,-0.36,3.5,14.75,3.58,14.91,3.76,15.3,2,M17,Simbad,300.12079,46.2400089
7971558,13.31,18,1318,28.59,2.882,41,11.8,2058.7,5176,2.38,-0.1,3.24,19.24,3.59,20.25,3.74,20.66,2,M17,Simbad,295.69,43.7246511
10547065,13.08,7,467.3,40.52,3.687,67.7,18.8,1338.2,5106,2.529,0.22,3.38,16.55,3.79,17.53,3.73,17.38,2,M17,Simbad,296.371,47.7964781
10094550,10.32,15,1055.8,57.29,4.79,21.3,21.8,304.1,5094,2.679,0.15,3.34,13.85,3.7,14.58,3.72,14.63,2,M17,Simbad,298.46127,47.0438919
10736390,10.54,18,1317.8,74.32,5.839,22.2,24.2,334.5,5145,2.794,0.18,3.35,12.15,3.77,12.89,3.72,12.79,2,M17,Simbad,293.91449,48.0835689
3758458,11.28,15,1057.3,74.21,5.836,34.7,25.9,429.4,5139,2.793,0.17,3.34,12.14,3.75,12.86,3.7,12.79,2,M17,Simbad,294.35526,38.86182
5564131,13.41,16,1221.4,38.94,3.615,45.2,17.1,764.4,5094,2.511,-0.16,3.23,16.53,3.48,17.14,3.69,17.66,2,M17,Simbad,299.1239,40.7836911
4370592,9.49,14,974.9,50.38,4.408,35,21.1,619.1,5209,2.628,0.11,3.28,14.54,3.7,15.45,3.65,15.36,2,M17,Simbad,293.07837,39.4801411
5097690,10.45,18,1317.8,59.23,4.979,27.6,24.8,359.2,5172,2.697,0.06,3.23,13.35,3.6,14.1,3.63,14.14,2,M17,Simbad,291.31937,40.2177581
9286851,9.97,18,1317.8,86.98,6.581,23.3,45,110,5075,2.859,0.12,3.26,11.12,3.57,11.63,3.63,11.73,2,M17,Simbad,294.19592,45.73838
6866251,11.48,18,1318,94.81,7.139,20.9,37.2,140.4,5243,2.904,0,3.2,10.47,3.61,11.11,3.62,11.13,2,M17,Simbad,292.74707,42.3799289
5106376,10.95,15,1057.2,63.66,5.179,26.4,24.2,401,4997,2.72,-0.02,3.26,13.04,3.44,13.41,3.59,13.7,2,M17,Simbad,293.80936,40.28624
4562675,9.21,18,1318.1,66.14,5.401,29.9,24.9,340.6,5084,2.741,-0.01,3.17,12.56,3.41,13.03,3.57,13.34,2,M17,Simbad,291.97388,39.6686289
8525150,8.49,18,1318.3,71.39,5.66,27.1,26.6,227.1,5002,2.771,-0.23,3.23,12.25,3.35,12.49,3.56,12.87,2,M17,Simbad,300.84778,44.5723689
5631956,13.02,15,1057.2,56.14,4.741,27.1,18.9,763.6,5031,2.667,0.12,3.21,13.77,3.46,14.28,3.53,14.43,2,M17,Simbad,295.23734,40.8520811
9245283,10.08,17,1235.9,42.34,3.858,38.9,17.2,894.5,5050,2.546,0.05,3.16,15.71,3.38,16.25,3.51,16.56,2,M17,Simbad,300.56827,45.6540489